PN,ATA_CHAPTER,SUB_CATEGORY,AIRCRAFT_FAMILY,AIRCRAFT_MODEL,ATOLYE_KABILIYETI,CLP_USD,FMV_USD,YURTICI_TAMIR_MALIYETI_USD,YURTDISI_TAMIR_MALIYETI_USD,FAAL_ADET,GAYRIFAAL_ADET,YURTICI_TAMIRDE_ADET,YURTDISI_TAMIRDE_ADET,ACIK_SATINALMA_ADET,EXCHANGE_IN_ADET,EXCHANGE_OUT_ADET,HOMEBASE_DEPO_ADET,TOPLAM_ENVANTER_ADET
PN-100000,23,COMMUNICATIONS,AIRBUS,A319-100,YOK,17830,6560,,10240,1,1,0,1,1,0,0,1,5
PN-100001,73,ENGINE FUEL AND CONTROL,BOEING,737-800,YOK,1600,650,,280,2,0,0,0,0,0,0,1,3
PN-100002,56,WINDOWS,BOEING,777-F,VAR,1170,520,330.0,570,1,0,0,0,0,0,1,1,3
PN-100003,32,LANDING GEAR,BOEING,737 MAX 8,YOK,3160,1940,,930,1,0,0,1,0,0,0,2,4
PN-100004,32,LANDING GEAR,AIRBUS,A320neo,YOK,3580,1370,,620,2,1,0,1,0,0,1,3,8
PN-100005,76,ENGINE CONTROLS,AIRBUS,A319-100,YOK,5830,1960,,2280,1,0,0,0,0,0,0,0,1
PN-100006,23,COMMUNICATIONS,BOEING,777-F,VAR,13540,2950,450.0,860,1,0,1,0,0,0,0,0,2
PN-100007,71,POWER PLANT,BOEING,777-300ER,VAR,810,430,160.0,270,10,3,1,3,0,5,2,4,28
PN-100008,26,FIRE PROTECTION,AIRBUS,A330-200,YOK,870,450,,220,3,1,0,1,1,0,0,2,8
PN-100009,23,COMMUNICATIONS,BOEING,737-800,YOK,18630,7020,,2710,9,2,0,2,2,0,0,2,17
PN-100010,35,OXYGEN,AIRBUS,A321neo,YOK,2970,1480,,450,7,2,0,1,1,0,0,2,13
PN-100011,80,STARTING,AIRBUS,A321neo,YOK,7440,4020,,4270,4,1,0,4,1,0,0,2,12
PN-100012,72,ENGINE,AIRBUS,A320-200,YOK,6890,2560,,780,2,1,0,1,1,0,0,3,8
PN-100013,72,ENGINE,AIRBUS,A320-200,YOK,1310,410,,200,2,0,0,1,0,0,1,1,5
PN-100014,71,POWER PLANT,AIRBUS,A320neo,VAR,5700,3430,1050.0,1830,7,2,2,1,1,1,0,7,21
PN-100015,73,ENGINE FUEL AND CONTROL,BOEING,737 MAX 8,YOK,8810,6590,,2240,3,1,0,2,0,1,0,2,9
PN-100016,35,OXYGEN,AIRBUS,A320-200,YOK,740,280,,120,12,1,0,8,4,4,0,6,35
PN-100017,24,ELECTRICAL POWER,AIRBUS,A320neo,YOK,100,50,,50,2,1,0,0,1,0,1,1,6
PN-100018,74,IGNITION,AIRBUS,A330-300,YOK,19920,12080,,19540,5,2,0,5,3,3,1,7,26
PN-100019,32,LANDING GEAR,AIRBUS,A320neo,YOK,1210,460,,170,2,1,0,1,0,0,4,1,9
PN-100020,35,OXYGEN,AIRBUS,A320-200,VAR,9260,3300,2520.0,4040,7,1,1,0,0,0,1,2,12
PN-100021,30,ICE & RAIN PROTECTION,AIRBUS,A330-300,VAR,360,210,80.0,150,9,2,1,2,0,1,2,7,24
PN-100022,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321-200,VAR,690,350,190.0,290,1,0,0,0,0,0,0,1,2
PN-100023,79,OIL,AIRBUS,A350-900,YOK,820,540,,220,2,1,0,0,0,0,0,1,4
PN-100024,73,ENGINE FUEL AND CONTROL,BOEING,777-300ER,YOK,1480,500,,470,1,0,0,1,0,0,0,1,3
PN-100025,52,DOORS,AIRBUS,A320-200,VAR,540,170,160.0,260,0,0,0,0,0,0,0,1,1
PN-100026,31,INDICATING / RECORDING SYSTEMS,BOEING,777-300ER,VAR,100,50,50.0,60,3,2,0,0,1,2,1,2,11
PN-100027,74,IGNITION,BOEING,777-300ER,YOK,2230,970,,810,2,0,0,1,0,0,0,1,4
PN-100028,36,PNEUMATIC,BOEING,737 MAX 8,VAR,560,410,170.0,270,2,0,0,0,1,0,1,1,5
PN-100029,32,LANDING GEAR,AIRBUS,A350-900,YOK,8260,4360,,5690,8,0,0,3,1,1,0,4,17
PN-100030,32,LANDING GEAR,AIRBUS,A350-900,VAR,38490,17380,5610.0,8160,1,0,0,0,0,0,0,1,2
PN-100031,26,FIRE PROTECTION,AIRBUS,A350-900,YOK,18660,9570,,6360,3,1,0,3,3,0,0,2,12
PN-100032,23,COMMUNICATIONS,BOEING,737-800,YOK,1110,550,,350,1,0,0,1,1,0,0,1,4
PN-100033,36,PNEUMATIC,AIRBUS,A319-100,VAR,590,320,90.0,140,3,1,1,0,1,0,0,2,8
PN-100034,77,ENGINE INDICATING,BOEING,777-F,YOK,170,50,,50,4,1,0,2,0,0,0,3,10
PN-100035,22,AUTO FLIGHT,AIRBUS,A330-300,VAR,48770,34980,12680.0,19340,8,0,1,2,2,2,0,5,20
PN-100036,76,ENGINE CONTROLS,BOEING,737-900ER,YOK,570,260,,100,2,1,0,1,0,0,1,0,5
PN-100037,74,IGNITION,AIRBUS,A321-200,YOK,6270,3770,,1570,1,0,0,0,0,0,0,0,1
PN-100038,28,FUEL,AIRBUS,A319-100,YOK,3060,860,,660,2,1,0,1,1,1,0,1,7
