PN,ATA_CHAPTER,SUB_CATEGORY,AIRCRAFT_FAMILY,AIRCRAFT_MODEL,ATOLYE_KABILIYETI,YURTICI_TAT_GUN,YURTDISI_TAT_GUN,SATINALMA_TAT_GUN,KRITIKLIK_DURUMU,YIL,CEYREK,DONEM,THY_TALEP_ADET,POOL_TALEP_ADET,SCRAP_ADET
PN-100000,23,COMMUNICATIONS,AIRBUS,A319-100,YOK,,30,19,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,0,0
PN-100000,23,COMMUNICATIONS,AIRBUS,A319-100,YOK,,30,19,KRİTİK DEĞİL,2025,Q2,2025-Q2,0,2,0
PN-100000,23,COMMUNICATIONS,AIRBUS,A319-100,YOK,,30,19,KRİTİK DEĞİL,2025,Q3,2025-Q3,1,1,0
PN-100000,23,COMMUNICATIONS,AIRBUS,A319-100,YOK,,30,19,KRİTİK DEĞİL,2025,Q4,2025-Q4,2,1,0
PN-100001,73,ENGINE FUEL AND CONTROL,BOEING,737-800,YOK,,41,28,AOG KRİTİK,2025,Q1,2025-Q1,2,1,0
PN-100001,73,ENGINE FUEL AND CONTROL,BOEING,737-800,YOK,,41,28,AOG KRİTİK,2025,Q2,2025-Q2,0,2,0
PN-100001,73,ENGINE FUEL AND CONTROL,BOEING,737-800,YOK,,41,28,AOG KRİTİK,2025,Q3,2025-Q3,0,1,0
PN-100001,73,ENGINE FUEL AND CONTROL,BOEING,737-800,YOK,,41,28,AOG KRİTİK,2025,Q4,2025-Q4,0,0,0
PN-100002,56,WINDOWS,BOEING,777-F,VAR,7.0,33,28,KRİTİK,2025,Q1,2025-Q1,0,0,0
PN-100002,56,WINDOWS,BOEING,777-F,VAR,7.0,33,28,KRİTİK,2025,Q2,2025-Q2,1,2,0
PN-100002,56,WINDOWS,BOEING,777-F,VAR,7.0,33,28,KRİTİK,2025,Q3,2025-Q3,0,0,0
PN-100002,56,WINDOWS,BOEING,777-F,VAR,7.0,33,28,KRİTİK,2025,Q4,2025-Q4,1,4,0
PN-100003,32,LANDING GEAR,BOEING,737 MAX 8,YOK,,53,89,AOG KRİTİK,2025,Q1,2025-Q1,0,1,0
PN-100003,32,LANDING GEAR,BOEING,737 MAX 8,YOK,,53,89,AOG KRİTİK,2025,Q2,2025-Q2,2,1,0
PN-100003,32,LANDING GEAR,BOEING,737 MAX 8,YOK,,53,89,AOG KRİTİK,2025,Q3,2025-Q3,2,0,1
PN-100003,32,LANDING GEAR,BOEING,737 MAX 8,YOK,,53,89,AOG KRİTİK,2025,Q4,2025-Q4,4,0,0
PN-100004,32,LANDING GEAR,AIRBUS,A320neo,YOK,,36,117,KRİTİK DEĞİL,2025,Q1,2025-Q1,4,0,0
PN-100004,32,LANDING GEAR,AIRBUS,A320neo,YOK,,36,117,KRİTİK DEĞİL,2025,Q2,2025-Q2,0,0,0
