AIRCRAFT_FAMILY,AIRCRAFT_MODEL,THY_2025_ADET,POOL_2025_ADET,THY_2033_ADET,POOL_2033_ADET,TOPLAM_2025_ADET,TOPLAM_2033_ADET
AIRBUS,A319-100,30,42,16,24,72,40
AIRBUS,A320-200,65,91,40,60,156,100
AIRBUS,A320neo,45,63,112,168,108,280
AIRBUS,A321-200,60,84,40,60,144,100
AIRBUS,A321neo,45,63,128,192,108,320
AIRBUS,A330-200,25,35,32,48,60,80
AIRBUS,A330-300,30,42,32,48,72,80
AIRBUS,A350-900,20,28,72,108,48,180
BOEING,737-800,60,84,32,48,144,80
BOEING,737-900ER,25,35,24,36,60,60
BOEING,737 MAX 8,35,49,128,192,84,320
BOEING,777-300ER,30,42,48,72,72,120
BOEING,777-F,10,14,24,36,24,60
BOEING,787-9,20,28,72,108,48,180
